# mass, sfr, Z, Z_err_up, Z_err_down, log_S_O, log_S_O_err_up, log_S_O_err_down, log_Ar_O, log_Ar_O_err_up, log_Ar_O_err_down, log_Ne_O, log_Ne_O_err_up, log_Ne_O_err_down, log_Fe_O, log_Fe_O_err_up, log_Fe_O_err_down
6.769999999999999574e+00,-1.580000000000000071e+00,7.616267858922855183e+00,nan,3.192780750738683556e-03,-1.796096356158306540e+00,nan,1.226185487518827860e-02,-2.368955772598777099e+00,4.504926337342209097e-02,4.595737134165674836e-02,-6.324859652079201089e-01,1.244285711882945483e-02,1.272372439333579845e-02,-1.338330156070903554e+00,nan,nan
8.089999999999999858e+00,-3.699999999999999956e-01,8.351356599249378121e+00,nan,1.743068667473676768e-03,-1.866653497943397966e+00,nan,3.885062828050459688e-03,-2.311868270395697422e+00,1.023677536371453770e-02,9.863244806605525605e-03,-4.943086872613956517e-01,7.235673185736015735e-03,7.464676901854183297e-03,-2.085430500629928297e+00,nan,nan
7.309999999999999609e+00,-1.070000000000000062e+00,8.128871111092237811e+00,3.921337967324074573e-03,5.951742216138995040e-03,nan,nan,nan,-2.335372078581957389e+00,1.054903060445487768e-02,9.681089631676171800e-03,-6.154793622039176348e-01,7.766662366912158340e-03,8.819518642365723263e-03,-1.072568490289294019e+00,5.783573734440054098e-02,4.803119184409009729e-02
8.679999999999999716e+00,4.400000000000000022e-01,7.388563755103279895e+00,nan,3.116174116823445216e-03,-1.557305215115375674e+00,nan,1.269089553340419819e-02,-2.044099848022706833e+00,3.668783422650827297e-02,3.608595988491701545e-02,-5.318316682078394475e-01,1.977074514616944043e-02,1.807806358041748676e-02,-1.667141538654977273e+00,nan,nan
9.890000000000000568e+00,1.510000000000000009e+00,8.261287575879176615e+00,3.958967429272038790e-02,3.901361392782159120e-03,nan,nan,nan,-2.091875490895804823e+00,2.725053547638882703e-02,3.445045358964397841e-02,-2.084021152171071020e-02,2.903350751145634956e-02,2.707061673513293937e-02,nan,nan,nan
8.140000000000000568e+00,5.300000000000000266e-01,7.995634599123462749e+00,1.352279987298608170e-03,9.854974565678483074e-04,-1.737879064841399979e+00,2.919580556909088468e-03,2.628231199969329693e-03,-2.345052950532227509e+00,9.191450891300525020e-03,8.668705062830428867e-03,-7.164851336910718071e-01,1.955990831502502601e-03,2.024621776015509984e-03,-1.094921106343630379e+00,5.904885968696587523e-02,4.522189897647043572e-02
6.839999999999999858e+00,-1.330000000000000071e+00,8.181264045388401129e+00,nan,1.569921058086956416e-03,-1.788409227217102382e+00,nan,3.097084079154636786e-03,-2.245991979368509028e+00,5.165804928022935810e-03,5.019406409892393159e-03,-6.746257829782188464e-01,4.528701396168876778e-03,4.783545050110460210e-03,-1.705904978582395426e+00,nan,nan
9.039999999999999147e+00,9.699999999999999734e-01,8.511988409784443377e+00,nan,1.618668834594810552e-03,-1.870560946276155434e+00,nan,3.816121050447809568e-03,-2.184662652949327377e+00,1.448264587200440330e-02,1.632736730387739782e-02,-3.764373291800624521e-01,8.241793090832992899e-03,8.799263897291208225e-03,-1.899584903163541894e+00,nan,nan
8.119999999999999218e+00,7.500000000000000000e-01,8.060310733047330700e+00,5.696988006628552793e-03,8.659384866656068963e-03,nan,nan,nan,-2.243012827475092230e+00,1.547862012381930920e-02,1.493726968851501018e-02,-6.214422460483255417e-01,1.019536669778422361e-02,1.115815884660660562e-02,-3.162743693576459125e-01,4.197740509668422548e-02,5.374070634463048307e-02
7.120000000000000107e+00,-1.080000000000000071e+00,8.025126597095404435e+00,nan,3.077813628699160430e-03,-1.891498558343767566e+00,nan,4.652096122625292395e-03,-2.378582601879732472e+00,8.292375640092721281e-03,8.228071821968654595e-03,-7.381555183140218190e-01,5.767372603496001213e-03,6.092454655416370234e-03,-1.353416056490418518e+00,nan,nan
7.650000000000000355e+00,5.600000000000000533e-01,7.954159916183352941e+00,3.827437163100017806e-03,5.653826268792826355e-03,nan,nan,nan,-2.221507879448273659e+00,5.432887873175757353e-03,5.753275387912666801e-03,-7.224674108813425866e-01,6.668596061217971389e-03,6.648212431783180956e-03,1.559868526799809973e-01,1.720418098310035060e-02,1.706404061472565487e-02
7.559999999999999609e+00,-6.700000000000000400e-01,8.320796444290611049e+00,nan,2.085755427855523481e-03,-1.892218194105063311e+00,nan,3.299461282354600698e-03,-2.370747748216859740e+00,5.595280410999090015e-03,5.926747829995989911e-03,-5.636697687835667825e-01,5.194571793894457376e-03,6.837582828162690370e-03,-1.876690839507175523e+00,nan,nan
